id,peakdate,title,artist,label,peakpos,woc
"LxsS5uAY_3Q","19670808","A BAD NIGHT","CAT STEVENS","DERAM","49","1"
"OjXu_pixArs","19740824","ANOTHER SATURDAY NIGHT","CAT STEVENS","ISLAND","47","1"
"0W_SGoBFJxs","19721209","CAN'T KEEP IT IN","CAT STEVENS","ISLAND","49","1"
"28csxWwbhw0","19891209","CATWOMAN","CAT","NO-LABEL","84","1"
"Qcqk_SEsLPU","19661026","I LOVE MY DOG","CAT STEVENS","DERAM","39","1"
"2zP4dyqh0QQ","19670405","I'M GONNA GET ME A GUN","CAT STEVENS","DERAM","45","1"
"rDPlxeLHazI","19671226","KITTY","CAT STEVENS","DERAM","47","1"
"qZP54bClDRw","19700627","LADY D'ARBANVILLE","CAT STEVENS","ISLAND","37","1"
"OUUHitCbJ6A","19670118","MATTHEW AND SON","CAT STEVENS","DERAM","33","1"
"8L56rAG5aK0","19710828","MOON SHADOW","CAT STEVENS","ISLAND","50","1"
"uZAsfB1Np-8","19720101","MORNING HAS BROKEN","CAT STEVENS","ISLAND","36","1"
"uFfNTBJTX1U","19770702","REMEMBER THE DAYS OF THE OLD SCHOOLYARD","CAT STEVENS","ISLAND","49","1"
"WU1XYvIUOrM","19931023","TONGUE TIED","CAT","EMI","18","1"
"Jta56wBl7SM","20070407","WILD WORLD","CAT STEVENS","ISLAND","52","1"
